Epoch Start,Gauge,Briber,Token,Total Bribe Amount
2023-03-02T00:00:00Z,0x8601DFCeE55E9e238f7ED7c42f8E46a7779e3f6f,0x891eFc56f5CD6580b2fEA416adC960F2A6156494,0xfa4b16b0f63f5a6d0651592620d585d308f749a4,50.0
2023-03-02T00:00:00Z,0x8601DFCeE55E9e238f7ED7c42f8E46a7779e3f6f,0x891eFc56f5CD6580b2fEA416adC960F2A6156494,0xb9e05b4c168b56f73940980ae6ef366354357009,350.0
2023-03-02T00:00:00Z,0x8601DFCeE55E9e238f7ED7c42f8E46a7779e3f6f,0x891eFc56f5CD6580b2fEA416adC960F2A6156494,0x50d8d7f7ccea28cc1c9ddb996689294dc62569ca,100.0
2023-03-02T00:00:00Z,0x8601DFCeE55E9e238f7ED7c42f8E46a7779e3f6f,0x891eFc56f5CD6580b2fEA416adC960F2A6156494,0xd50c729cebb64604b99e1243a54e840527360581,20.0
2023-03-02T00:00:00Z,0x8601DFCeE55E9e238f7ED7c42f8E46a7779e3f6f,0x891eFc56f5CD6580b2fEA416adC960F2A6156494,0xed236c32f695c83efde232c288701d6f9c23e60e,750.0
2023-03-02T00:00:00Z,0x8601DFCeE55E9e238f7ED7c42f8E46a7779e3f6f,0x891eFc56f5CD6580b2fEA416adC960F2A6156494,0xe9e7cea3dedca5984780bafc599bd69add087d56,10.0
2023-03-02T00:00:00Z,0x8601DFCeE55E9e238f7ED7c42f8E46a7779e3f6f,0x891eFc56f5CD6580b2fEA416adC960F2A6156494,0x12b70d84dab272dc5a24f49bdbf6a4c4605f15da,1000.0
2023-03-02T00:00:00Z,0x35756EB391B93Fe3457aC4A7fae198552AC3AC28,0x59b596e080295F83d67431746f3Eabd70D8A3236,0xfa4b16b0f63f5a6d0651592620d585d308f749a4,25.0
2023-03-02T00:00:00Z,0x35756EB391B93Fe3457aC4A7fae198552AC3AC28,0x59b596e080295F83d67431746f3Eabd70D8A3236,0xb9e05b4c168b56f73940980ae6ef366354357009,300.0
2023-03-02T00:00:00Z,0x35756EB391B93Fe3457aC4A7fae198552AC3AC28,0x59b596e080295F83d67431746f3Eabd70D8A3236,0x50d8d7f7ccea28cc1c9ddb996689294dc62569ca,150.0
2023-03-02T00:00:00Z,0x35756EB391B93Fe3457aC4A7fae198552AC3AC28,0x59b596e080295F83d67431746f3Eabd70D8A3236,0xd50c729cebb64604b99e1243a54e840527360581,20.0
2023-03-02T00:00:00Z,0x35756EB391B93Fe3457aC4A7fae198552AC3AC28,0x59b596e080295F83d67431746f3Eabd70D8A3236,0x12b70d84dab272dc5a24f49bdbf6a4c4605f15da,1000.0
2023-03-02T00:00:00Z,0x35756EB391B93Fe3457aC4A7fae198552AC3AC28,0x59b596e080295F83d67431746f3Eabd70D8A3236,0xed236c32f695c83efde232c288701d6f9c23e60e,500.0
2023-03-02T00:00:00Z,0xe05DE828EedCe4c4cAa532750F8f0d95a0Fd094e,0x59b596e080295F83d67431746f3Eabd70D8A3236,0xfa4b16b0f63f5a6d0651592620d585d308f749a4,25.0
2023-03-02T00:00:00Z,0xe05DE828EedCe4c4cAa532750F8f0d95a0Fd094e,0x59b596e080295F83d67431746f3Eabd70D8A3236,0xb9e05b4c168b56f73940980ae6ef366354357009,300.0
2023-03-02T00:00:00Z,0xe05DE828EedCe4c4cAa532750F8f0d95a0Fd094e,0x59b596e080295F83d67431746f3Eabd70D8A3236,0x50d8d7f7ccea28cc1c9ddb996689294dc62569ca,100.0
2023-03-02T00:00:00Z,0xe05DE828EedCe4c4cAa532750F8f0d95a0Fd094e,0x59b596e080295F83d67431746f3Eabd70D8A3236,0xd50c729cebb64604b99e1243a54e840527360581,20.0
2023-03-02T00:00:00Z,0xe05DE828EedCe4c4cAa532750F8f0d95a0Fd094e,0x59b596e080295F83d67431746f3Eabd70D8A3236,0x12b70d84dab272dc5a24f49bdbf6a4c4605f15da,1000.0
2023-03-02T00:00:00Z,0xe05DE828EedCe4c4cAa532750F8f0d95a0Fd094e,0x59b596e080295F83d67431746f3Eabd70D8A3236,0xed236c32f695c83efde232c288701d6f9c23e60e,500.0
2023-03-02T00:00:00Z,0x9DAb43a1D850eC820C88a19561C1fD87dEC09193,0x59b596e080295F83d67431746f3Eabd70D8A3236,0xfa4b16b0f63f5a6d0651592620d585d308f749a4,50.0
2023-03-02T00:00:00Z,0x9DAb43a1D850eC820C88a19561C1fD87dEC09193,0x59b596e080295F83d67431746f3Eabd70D8A3236,0xb9e05b4c168b56f73940980ae6ef366354357009,350.0
2023-03-02T00:00:00Z,0x9DAb43a1D850eC820C88a19561C1fD87dEC09193,0x59b596e080295F83d67431746f3Eabd70D8A3236,0xd50c729cebb64604b99e1243a54e840527360581,20.0
2023-03-02T00:00:00Z,0x9DAb43a1D850eC820C88a19561C1fD87dEC09193,0x59b596e080295F83d67431746f3Eabd70D8A3236,0x50d8d7f7ccea28cc1c9ddb996689294dc62569ca,150.0
2023-03-02T00:00:00Z,0x9DAb43a1D850eC820C88a19561C1fD87dEC09193,0x59b596e080295F83d67431746f3Eabd70D8A3236,0xed236c32f695c83efde232c288701d6f9c23e60e,750.0
2023-03-02T00:00:00Z,0x9DAb43a1D850eC820C88a19561C1fD87dEC09193,0x59b596e080295F83d67431746f3Eabd70D8A3236,0x12b70d84dab272dc5a24f49bdbf6a4c4605f15da,1000.0
